algoritmo,distribuicao,n,rep,bins,lower_bound,razao_vs_lb,tempo_us,soma_tamanhos
NF,falkenauer_u120,1000,0,364,0,0.000000,36.9,303.610000
FF,falkenauer_u120,1000,0,313,0,0.000000,3337.8,303.610000
BF,falkenauer_u120,1000,0,314,0,0.000000,3439.8,303.610000
FFD,falkenauer_u120,1000,0,308,0,0.000000,3870.9,303.610000
BFD,falkenauer_u120,1000,0,308,0,0.000000,4478.2,303.610000
NF,falkenauer_u120,1000,1,348,0,0.000000,27.3,292.510000
FF,falkenauer_u120,1000,1,303,0,0.000000,3131.8,292.510000
BF,falkenauer_u120,1000,1,303,0,0.000000,3427.5,292.510000
FFD,falkenauer_u120,1000,1,297,0,0.000000,3735.1,292.510000
BFD,falkenauer_u120,1000,1,297,0,0.000000,4300.2,292.510000
NF,falkenauer_u120,1000,2,349,0,0.000000,27.5,294.160000
FF,falkenauer_u120,1000,2,304,0,0.000000,3252.0,294.160000
BF,falkenauer_u120,1000,2,303,0,0.000000,3389.7,294.160000
FFD,falkenauer_u120,1000,2,299,0,0.000000,3738.7,294.160000
BFD,falkenauer_u120,1000,2,299,0,0.000000,4415.7,294.160000
NF,falkenauer_u120,1000,3,363,0,0.000000,26.9,304.250000
FF,falkenauer_u120,1000,3,315,0,0.000000,3315.8,304.250000
BF,falkenauer_u120,1000,3,314,0,0.000000,3445.9,304.250000
FFD,falkenauer_u120,1000,3,309,0,0.000000,3816.9,304.250000
BFD,falkenauer_u120,1000,3,309,0,0.000000,4523.0,304.250000
NF,falkenauer_u120,1000,4,360,0,0.000000,28.0,298.940000
FF,falkenauer_u120,1000,4,310,0,0.000000,3260.7,298.940000
BF,falkenauer_u120,1000,4,309,0,0.000000,3406.6,298.940000
FFD,falkenauer_u120,1000,4,304,0,0.000000,3788.4,298.940000
BFD,falkenauer_u120,1000,4,304,0,0.000000,4428.0,298.940000
NF,falkenauer_u120,1000,5,364,0,0.000000,27.3,301.710000
FF,falkenauer_u120,1000,5,313,0,0.000000,3274.2,301.710000
BF,falkenauer_u120,1000,5,312,0,0.000000,3405.3,301.710000
FFD,falkenauer_u120,1000,5,307,0,0.000000,3811.5,301.710000
BFD,falkenauer_u120,1000,5,307,0,0.000000,4499.0,301.710000
NF,falkenauer_u120,1000,6,359,0,0.000000,30.7,299.470000
FF,falkenauer_u120,1000,6,312,0,0.000000,3245.9,299.470000
BF,falkenauer_u120,1000,6,310,0,0.000000,3444.5,299.470000
FFD,falkenauer_u120,1000,6,304,0,0.000000,3874.2,299.470000
BFD,falkenauer_u120,1000,6,304,0,0.000000,4419.3,299.470000
NF,falkenauer_u120,1000,7,352,0,0.000000,27.1,295.110000
FF,falkenauer_u120,1000,7,305,0,0.000000,3205.9,295.110000
BF,falkenauer_u120,1000,7,306,0,0.000000,3324.8,295.110000
FFD,falkenauer_u120,1000,7,300,0,0.000000,3784.1,295.110000
BFD,falkenauer_u120,1000,7,300,0,0.000000,4358.4,295.110000
NF,falkenauer_u120,1000,8,359,0,0.000000,27.0,299.070000
FF,falkenauer_u120,1000,8,309,0,0.000000,3209.3,299.070000
BF,falkenauer_u120,1000,8,308,0,0.000000,3362.9,299.070000
FFD,falkenauer_u120,1000,8,304,0,0.000000,3745.1,299.070000
BFD,falkenauer_u120,1000,8,304,0,0.000000,4494.0,299.070000
NF,falkenauer_u120,1000,9,357,0,0.000000,27.7,298.970000
FF,falkenauer_u120,1000,9,310,0,0.000000,3324.5,298.970000
BF,falkenauer_u120,1000,9,310,0,0.000000,3386.7,298.970000
FFD,falkenauer_u120,1000,9,305,0,0.000000,3802.9,298.970000
BFD,falkenauer_u120,1000,9,305,0,0.000000,4402.3,298.970000
NF,falkenauer_u120,16000,0,5750,0,0.000000,450.8,4801.700000
FF,falkenauer_u120,16000,0,4955,0,0.000000,913738.4,4801.700000
BF,falkenauer_u120,16000,0,4947,0,0.000000,1023066.0,4801.700000
FFD,falkenauer_u120,16000,0,4872,0,0.000000,1058460.9,4801.700000
BFD,falkenauer_u120,16000,0,4872,0,0.000000,1341185.7,4801.700000
NF,falkenauer_u120,16000,1,5757,0,0.000000,448.3,4812.110000
FF,falkenauer_u120,16000,1,4963,0,0.000000,914233.7,4812.110000
BF,falkenauer_u120,16000,1,4961,0,0.000000,1026369.7,4812.110000
FFD,falkenauer_u120,16000,1,4881,0,0.000000,1062291.0,4812.110000
BFD,falkenauer_u120,16000,1,4881,0,0.000000,1334631.4,4812.110000
NF,falkenauer_u120,16000,2,5716,0,0.000000,462.1,4780.810000
FF,falkenauer_u120,16000,2,4933,0,0.000000,908099.4,4780.810000
BF,falkenauer_u120,16000,2,4931,0,0.000000,1020093.7,4780.810000
FFD,falkenauer_u120,16000,2,4850,0,0.000000,1051956.4,4780.810000
BFD,falkenauer_u120,16000,2,4850,0,0.000000,1325970.6,4780.810000
NF,falkenauer_u120,16000,3,5751,0,0.000000,455.3,4801.140000
FF,falkenauer_u120,16000,3,4952,0,0.000000,914898.0,4801.140000
BF,falkenauer_u120,16000,3,4946,0,0.000000,1026006.5,4801.140000
FFD,falkenauer_u120,16000,3,4870,0,0.000000,1053020.4,4801.140000
BFD,falkenauer_u120,16000,3,4870,0,0.000000,1332273.8,4801.140000
NF,falkenauer_u120,16000,4,5711,0,0.000000,459.6,4782.000000
FF,falkenauer_u120,16000,4,4933,0,0.000000,911979.0,4782.000000
BF,falkenauer_u120,16000,4,4933,0,0.000000,1025079.2,4782.000000
FFD,falkenauer_u120,16000,4,4852,0,0.000000,1056074.8,4782.000000
BFD,falkenauer_u120,16000,4,4852,0,0.000000,1331438.8,4782.000000
NF,falkenauer_u120,16000,5,5777,0,0.000000,464.7,4816.620000
FF,falkenauer_u120,16000,5,4968,0,0.000000,916048.1,4816.620000
BF,falkenauer_u120,16000,5,4963,0,0.000000,1025553.7,4816.620000
FFD,falkenauer_u120,16000,5,4886,0,0.000000,1057686.8,4816.620000
BFD,falkenauer_u120,16000,5,4886,0,0.000000,1338514.6,4816.620000
NF,falkenauer_u120,16000,6,5733,0,0.000000,463.0,4793.490000
FF,falkenauer_u120,16000,6,4945,0,0.000000,911432.3,4793.490000
BF,falkenauer_u120,16000,6,4939,0,0.000000,1023949.0,4793.490000
FFD,falkenauer_u120,16000,6,4862,0,0.000000,1053811.9,4793.490000
BFD,falkenauer_u120,16000,6,4862,0,0.000000,1323679.2,4793.490000
NF,falkenauer_u120,16000,7,5780,0,0.000000,466.9,4811.780000
FF,falkenauer_u120,16000,7,4963,0,0.000000,917670.2,4811.780000
BF,falkenauer_u120,16000,7,4959,0,0.000000,1025524.5,4811.780000
FFD,falkenauer_u120,16000,7,4882,0,0.000000,1058859.7,4811.780000
BFD,falkenauer_u120,16000,7,4882,0,0.000000,1329445.3,4811.780000
NF,falkenauer_u120,16000,8,5780,0,0.000000,459.4,4814.420000
FF,falkenauer_u120,16000,8,4966,0,0.000000,923548.1,4814.420000
BF,falkenauer_u120,16000,8,4965,0,0.000000,1034827.4,4814.420000
FFD,falkenauer_u120,16000,8,4885,0,0.000000,1062939.1,4814.420000
BFD,falkenauer_u120,16000,8,4885,0,0.000000,1331400.6,4814.420000
NF,falkenauer_u120,16000,9,5785,0,0.000000,459.0,4817.850000
FF,falkenauer_u120,16000,9,4971,0,0.000000,916929.9,4817.850000
BF,falkenauer_u120,16000,9,4967,0,0.000000,1028348.2,4817.850000
FFD,falkenauer_u120,16000,9,4889,0,0.000000,1058936.0,4817.850000
BFD,falkenauer_u120,16000,9,4889,0,0.000000,1334429.7,4817.850000
NF,falkenauer_u120,2000,0,730,0,0.000000,73.6,604.910000
FF,falkenauer_u120,2000,0,625,0,0.000000,13809.8,604.910000
BF,falkenauer_u120,2000,0,626,0,0.000000,14507.0,604.910000
FFD,falkenauer_u120,2000,0,614,0,0.000000,16034.3,604.910000
BFD,falkenauer_u120,2000,0,614,0,0.000000,19122.3,604.910000
NF,falkenauer_u120,2000,1,722,0,0.000000,76.5,603.690000
FF,falkenauer_u120,2000,1,622,0,0.000000,13592.5,603.690000
BF,falkenauer_u120,2000,1,624,0,0.000000,14678.2,603.690000
FFD,falkenauer_u120,2000,1,612,0,0.000000,15835.8,603.690000
BFD,falkenauer_u120,2000,1,612,0,0.000000,19175.3,603.690000
NF,falkenauer_u120,2000,2,720,0,0.000000,56.5,596.990000
FF,falkenauer_u120,2000,2,617,0,0.000000,13282.6,596.990000
BF,falkenauer_u120,2000,2,616,0,0.000000,14318.7,596.990000
FFD,falkenauer_u120,2000,2,606,0,0.000000,15682.1,596.990000
BFD,falkenauer_u120,2000,2,606,0,0.000000,19068.4,596.990000
NF,falkenauer_u120,2000,3,719,0,0.000000,57.9,601.650000
FF,falkenauer_u120,2000,3,624,0,0.000000,13641.9,601.650000
BF,falkenauer_u120,2000,3,623,0,0.000000,14468.7,601.650000
FFD,falkenauer_u120,2000,3,611,0,0.000000,15983.7,601.650000
BFD,falkenauer_u120,2000,3,611,0,0.000000,19175.4,601.650000
NF,falkenauer_u120,2000,4,717,0,0.000000,57.6,602.300000
FF,falkenauer_u120,2000,4,622,0,0.000000,13607.5,602.300000
BF,falkenauer_u120,2000,4,621,0,0.000000,14639.8,602.300000
FFD,falkenauer_u120,2000,4,611,0,0.000000,15960.2,602.300000
BFD,falkenauer_u120,2000,4,611,0,0.000000,19029.9,602.300000
NF,falkenauer_u120,2000,5,712,0,0.000000,57.4,593.990000
FF,falkenauer_u120,2000,5,614,0,0.000000,13506.8,593.990000
BF,falkenauer_u120,2000,5,613,0,0.000000,14239.0,593.990000
FFD,falkenauer_u120,2000,5,603,0,0.000000,15698.8,593.990000
BFD,falkenauer_u120,2000,5,603,0,0.000000,18782.0,593.990000
NF,falkenauer_u120,2000,6,707,0,0.000000,56.6,591.430000
FF,falkenauer_u120,2000,6,612,0,0.000000,13239.9,591.430000
BF,falkenauer_u120,2000,6,612,0,0.000000,14099.0,591.430000
FFD,falkenauer_u120,2000,6,600,0,0.000000,15701.8,591.430000
BFD,falkenauer_u120,2000,6,600,0,0.000000,18810.8,591.430000
NF,falkenauer_u120,2000,7,729,0,0.000000,56.6,605.510000
FF,falkenauer_u120,2000,7,626,0,0.000000,13767.4,605.510000
BF,falkenauer_u120,2000,7,626,0,0.000000,14632.4,605.510000
FFD,falkenauer_u120,2000,7,615,0,0.000000,15999.1,605.510000
BFD,falkenauer_u120,2000,7,615,0,0.000000,19139.5,605.510000
NF,falkenauer_u120,2000,8,716,0,0.000000,76.3,601.130000
FF,falkenauer_u120,2000,8,621,0,0.000000,13637.9,601.130000
BF,falkenauer_u120,2000,8,619,0,0.000000,14348.3,601.130000
FFD,falkenauer_u120,2000,8,610,0,0.000000,15706.6,601.130000
BFD,falkenauer_u120,2000,8,610,0,0.000000,19040.2,601.130000
NF,falkenauer_u120,2000,9,705,0,0.000000,56.7,587.830000
FF,falkenauer_u120,2000,9,607,0,0.000000,13236.1,587.830000
BF,falkenauer_u120,2000,9,607,0,0.000000,14093.2,587.830000
FFD,falkenauer_u120,2000,9,597,0,0.000000,15632.5,587.830000
BFD,falkenauer_u120,2000,9,597,0,0.000000,18719.8,587.830000
NF,falkenauer_u120,4000,0,1439,0,0.000000,149.1,1200.760000
FF,falkenauer_u120,4000,0,1239,0,0.000000,55780.1,1200.760000
BF,falkenauer_u120,4000,0,1238,0,0.000000,61069.0,1200.760000
FFD,falkenauer_u120,4000,0,1219,0,0.000000,65104.8,1200.760000
BFD,falkenauer_u120,4000,0,1219,0,0.000000,79908.1,1200.760000
NF,falkenauer_u120,4000,1,1437,0,0.000000,133.1,1200.500000
FF,falkenauer_u120,4000,1,1241,0,0.000000,56490.7,1200.500000
BF,falkenauer_u120,4000,1,1239,0,0.000000,61455.3,1200.500000
FFD,falkenauer_u120,4000,1,1219,0,0.000000,65187.2,1200.500000
BFD,falkenauer_u120,4000,1,1219,0,0.000000,79675.3,1200.500000
NF,falkenauer_u120,4000,2,1434,0,0.000000,126.5,1202.330000
FF,falkenauer_u120,4000,2,1243,0,0.000000,55747.9,1202.330000
BF,falkenauer_u120,4000,2,1240,0,0.000000,60732.2,1202.330000
FFD,falkenauer_u120,4000,2,1219,0,0.000000,64563.7,1202.330000
BFD,falkenauer_u120,4000,2,1219,0,0.000000,79970.0,1202.330000
NF,falkenauer_u120,4000,3,1424,0,0.000000,113.2,1191.060000
FF,falkenauer_u120,4000,3,1230,0,0.000000,55387.7,1191.060000
BF,falkenauer_u120,4000,3,1228,0,0.000000,60382.4,1191.060000
FFD,falkenauer_u120,4000,3,1208,0,0.000000,64905.8,1191.060000
BFD,falkenauer_u120,4000,3,1208,0,0.000000,79236.3,1191.060000
NF,falkenauer_u120,4000,4,1439,0,0.000000,135.9,1200.640000
FF,falkenauer_u120,4000,4,1239,0,0.000000,55846.4,1200.640000
BF,falkenauer_u120,4000,4,1240,0,0.000000,60555.3,1200.640000
FFD,falkenauer_u120,4000,4,1218,0,0.000000,64584.3,1200.640000
BFD,falkenauer_u120,4000,4,1218,0,0.000000,79583.7,1200.640000
NF,falkenauer_u120,4000,5,1439,0,0.000000,134.0,1202.590000
FF,falkenauer_u120,4000,5,1242,0,0.000000,55702.0,1202.590000
BF,falkenauer_u120,4000,5,1239,0,0.000000,60978.2,1202.590000
FFD,falkenauer_u120,4000,5,1221,0,0.000000,65256.0,1202.590000
BFD,falkenauer_u120,4000,5,1221,0,0.000000,80058.7,1202.590000
NF,falkenauer_u120,4000,6,1428,0,0.000000,149.6,1200.840000
FF,falkenauer_u120,4000,6,1240,0,0.000000,55411.2,1200.840000
BF,falkenauer_u120,4000,6,1239,0,0.000000,60634.2,1200.840000
FFD,falkenauer_u120,4000,6,1219,0,0.000000,64880.1,1200.840000
BFD,falkenauer_u120,4000,6,1219,0,0.000000,79682.7,1200.840000
NF,falkenauer_u120,4000,7,1427,0,0.000000,138.7,1186.920000
FF,falkenauer_u120,4000,7,1226,0,0.000000,55109.7,1186.920000
BF,falkenauer_u120,4000,7,1226,0,0.000000,59860.6,1186.920000
FFD,falkenauer_u120,4000,7,1205,0,0.000000,64413.5,1186.920000
BFD,falkenauer_u120,4000,7,1205,0,0.000000,79150.3,1186.920000
NF,falkenauer_u120,4000,8,1427,0,0.000000,145.1,1191.520000
FF,falkenauer_u120,4000,8,1229,0,0.000000,55264.3,1191.520000
BF,falkenauer_u120,4000,8,1228,0,0.000000,60522.0,1191.520000
FFD,falkenauer_u120,4000,8,1209,0,0.000000,64444.0,1191.520000
BFD,falkenauer_u120,4000,8,1209,0,0.000000,79381.2,1191.520000
NF,falkenauer_u120,4000,9,1458,0,0.000000,122.1,1217.700000
FF,falkenauer_u120,4000,9,1257,0,0.000000,57158.3,1217.700000
BF,falkenauer_u120,4000,9,1257,0,0.000000,62169.7,1217.700000
FFD,falkenauer_u120,4000,9,1237,0,0.000000,65344.7,1217.700000
BFD,falkenauer_u120,4000,9,1237,0,0.000000,80619.4,1217.700000
NF,falkenauer_u120,8000,0,2898,0,0.000000,230.8,2419.280000
FF,falkenauer_u120,8000,0,2498,0,0.000000,228679.9,2419.280000
BF,falkenauer_u120,8000,0,2494,0,0.000000,253771.6,2419.280000
FFD,falkenauer_u120,8000,0,2456,0,0.000000,263649.2,2419.280000
BFD,falkenauer_u120,8000,0,2456,0,0.000000,330145.3,2419.280000
NF,falkenauer_u120,8000,1,2857,0,0.000000,228.8,2392.750000
FF,falkenauer_u120,8000,1,2469,0,0.000000,226347.9,2392.750000
BF,falkenauer_u120,8000,1,2469,0,0.000000,251415.7,2392.750000
FFD,falkenauer_u120,8000,1,2428,0,0.000000,262442.8,2392.750000
BFD,falkenauer_u120,8000,1,2428,0,0.000000,327721.0,2392.750000
NF,falkenauer_u120,8000,2,2887,0,0.000000,230.4,2409.080000
FF,falkenauer_u120,8000,2,2486,0,0.000000,227533.4,2409.080000
BF,falkenauer_u120,8000,2,2481,0,0.000000,251753.4,2409.080000
FFD,falkenauer_u120,8000,2,2444,0,0.000000,263376.9,2409.080000
BFD,falkenauer_u120,8000,2,2444,0,0.000000,328561.8,2409.080000
NF,falkenauer_u120,8000,3,2863,0,0.000000,265.9,2388.480000
FF,falkenauer_u120,8000,3,2467,0,0.000000,225661.9,2388.480000
BF,falkenauer_u120,8000,3,2462,0,0.000000,250032.4,2388.480000
FFD,falkenauer_u120,8000,3,2422,0,0.000000,261269.3,2388.480000
BFD,falkenauer_u120,8000,3,2422,0,0.000000,327152.2,2388.480000
NF,falkenauer_u120,8000,4,2867,0,0.000000,230.6,2395.400000
FF,falkenauer_u120,8000,4,2470,0,0.000000,226513.7,2395.400000
BF,falkenauer_u120,8000,4,2469,0,0.000000,251851.2,2395.400000
FFD,falkenauer_u120,8000,4,2429,0,0.000000,262448.7,2395.400000
BFD,falkenauer_u120,8000,4,2429,0,0.000000,328176.2,2395.400000
NF,falkenauer_u120,8000,5,2869,0,0.000000,226.4,2389.230000
FF,falkenauer_u120,8000,5,2471,0,0.000000,226591.0,2389.230000
BF,falkenauer_u120,8000,5,2465,0,0.000000,250603.1,2389.230000
FFD,falkenauer_u120,8000,5,2425,0,0.000000,262092.4,2389.230000
BFD,falkenauer_u120,8000,5,2425,0,0.000000,327293.3,2389.230000
NF,falkenauer_u120,8000,6,2862,0,0.000000,237.4,2391.450000
FF,falkenauer_u120,8000,6,2464,0,0.000000,225309.6,2391.450000
BF,falkenauer_u120,8000,6,2465,0,0.000000,249532.9,2391.450000
FFD,falkenauer_u120,8000,6,2425,0,0.000000,261192.6,2391.450000
BFD,falkenauer_u120,8000,6,2425,0,0.000000,327491.1,2391.450000
NF,falkenauer_u120,8000,7,2861,0,0.000000,231.9,2388.100000
FF,falkenauer_u120,8000,7,2462,0,0.000000,225285.5,2388.100000
BF,falkenauer_u120,8000,7,2458,0,0.000000,251094.1,2388.100000
FFD,falkenauer_u120,8000,7,2423,0,0.000000,261185.2,2388.100000
BFD,falkenauer_u120,8000,7,2423,0,0.000000,326768.7,2388.100000
NF,falkenauer_u120,8000,8,2884,0,0.000000,236.7,2408.410000
FF,falkenauer_u120,8000,8,2482,0,0.000000,226348.3,2408.410000
BF,falkenauer_u120,8000,8,2480,0,0.000000,252174.6,2408.410000
FFD,falkenauer_u120,8000,8,2444,0,0.000000,262510.5,2408.410000
BFD,falkenauer_u120,8000,8,2444,0,0.000000,328556.3,2408.410000
NF,falkenauer_u120,8000,9,2857,0,0.000000,227.5,2385.660000
FF,falkenauer_u120,8000,9,2463,0,0.000000,225564.4,2385.660000
BF,falkenauer_u120,8000,9,2461,0,0.000000,251262.1,2385.660000
FFD,falkenauer_u120,8000,9,2421,0,0.000000,261994.5,2385.660000
BFD,falkenauer_u120,8000,9,2421,0,0.000000,326605.0,2385.660000
NF,tres_particao,1000,0,467,0,0.000000,34.3,381.690000
FF,tres_particao,1000,0,432,0,0.000000,4655.1,381.690000
BF,tres_particao,1000,0,432,0,0.000000,4927.8,381.690000
FFD,tres_particao,1000,0,422,0,0.000000,5044.4,381.690000
BFD,tres_particao,1000,0,422,0,0.000000,5545.2,381.690000
NF,tres_particao,1000,1,465,0,0.000000,26.6,377.610000
FF,tres_particao,1000,1,428,0,0.000000,4599.6,377.610000
BF,tres_particao,1000,1,428,0,0.000000,4762.1,377.610000
FFD,tres_particao,1000,1,417,0,0.000000,4958.0,377.610000
BFD,tres_particao,1000,1,417,0,0.000000,5420.3,377.610000
NF,tres_particao,1000,2,473,0,0.000000,30.0,380.220000
FF,tres_particao,1000,2,433,0,0.000000,4819.1,380.220000
BF,tres_particao,1000,2,433,0,0.000000,4894.8,380.220000
FFD,tres_particao,1000,2,423,0,0.000000,5073.2,380.220000
BFD,tres_particao,1000,2,423,0,0.000000,5422.3,380.220000
NF,tres_particao,1000,3,475,0,0.000000,26.4,383.400000
FF,tres_particao,1000,3,439,0,0.000000,4680.6,383.400000
BF,tres_particao,1000,3,436,0,0.000000,4862.1,383.400000
FFD,tres_particao,1000,3,426,0,0.000000,5057.8,383.400000
BFD,tres_particao,1000,3,426,0,0.000000,5417.6,383.400000
NF,tres_particao,1000,4,473,0,0.000000,26.2,382.320000
FF,tres_particao,1000,4,434,0,0.000000,4624.5,382.320000
BF,tres_particao,1000,4,434,0,0.000000,4799.5,382.320000
FFD,tres_particao,1000,4,422,0,0.000000,5081.1,382.320000
BFD,tres_particao,1000,4,422,0,0.000000,5422.1,382.320000
NF,tres_particao,1000,5,465,0,0.000000,26.6,379.350000
FF,tres_particao,1000,5,429,0,0.000000,4648.1,379.350000
BF,tres_particao,1000,5,430,0,0.000000,4849.8,379.350000
FFD,tres_particao,1000,5,420,0,0.000000,5006.5,379.350000
BFD,tres_particao,1000,5,420,0,0.000000,5417.8,379.350000
NF,tres_particao,1000,6,469,0,0.000000,26.4,380.290000
FF,tres_particao,1000,6,432,0,0.000000,4614.5,380.290000
BF,tres_particao,1000,6,432,0,0.000000,4796.4,380.290000
FFD,tres_particao,1000,6,422,0,0.000000,4983.3,380.290000
BFD,tres_particao,1000,6,422,0,0.000000,5397.8,380.290000
NF,tres_particao,1000,7,469,0,0.000000,26.1,379.670000
FF,tres_particao,1000,7,428,0,0.000000,4685.2,379.670000
BF,tres_particao,1000,7,429,0,0.000000,4813.9,379.670000
FFD,tres_particao,1000,7,418,0,0.000000,5001.2,379.670000
BFD,tres_particao,1000,7,418,0,0.000000,5395.8,379.670000
NF,tres_particao,1000,8,470,0,0.000000,28.8,379.900000
FF,tres_particao,1000,8,427,0,0.000000,4536.3,379.900000
BF,tres_particao,1000,8,427,0,0.000000,4730.7,379.900000
FFD,tres_particao,1000,8,420,0,0.000000,4991.3,379.900000
BFD,tres_particao,1000,8,420,0,0.000000,5390.1,379.900000
NF,tres_particao,1000,9,472,0,0.000000,26.3,380.290000
FF,tres_particao,1000,9,432,0,0.000000,4550.2,380.290000
BF,tres_particao,1000,9,429,0,0.000000,4764.9,380.290000
FFD,tres_particao,1000,9,421,0,0.000000,5000.5,380.290000
BFD,tres_particao,1000,9,421,0,0.000000,5397.7,380.290000
NF,tres_particao,16000,0,7510,0,0.000000,446.1,6082.360000
FF,tres_particao,16000,0,6885,0,0.000000,1272968.6,6082.360000
BF,tres_particao,16000,0,6885,0,0.000000,1434723.2,6082.360000
FFD,tres_particao,16000,0,6724,0,0.000000,1372587.6,6082.360000
BFD,tres_particao,16000,0,6724,0,0.000000,1584256.6,6082.360000
NF,tres_particao,16000,1,7500,0,0.000000,438.2,6073.560000
FF,tres_particao,16000,1,6866,0,0.000000,1274758.6,6073.560000
BF,tres_particao,16000,1,6868,0,0.000000,1429633.7,6073.560000
FFD,tres_particao,16000,1,6713,0,0.000000,1370181.0,6073.560000
BFD,tres_particao,16000,1,6713,0,0.000000,1583202.7,6073.560000
NF,tres_particao,16000,2,7508,0,0.000000,439.6,6067.520000
FF,tres_particao,16000,2,6858,0,0.000000,1266114.8,6067.520000
BF,tres_particao,16000,2,6859,0,0.000000,1425525.7,6067.520000
FFD,tres_particao,16000,2,6709,0,0.000000,1366927.6,6067.520000
BFD,tres_particao,16000,2,6709,0,0.000000,1583691.0,6067.520000
NF,tres_particao,16000,3,7517,0,0.000000,447.0,6089.370000
FF,tres_particao,16000,3,6891,0,0.000000,1274826.4,6089.370000
BF,tres_particao,16000,3,6892,0,0.000000,1430436.1,6089.370000
FFD,tres_particao,16000,3,6727,0,0.000000,1372091.8,6089.370000
BFD,tres_particao,16000,3,6727,0,0.000000,1589388.0,6089.370000
NF,tres_particao,16000,4,7501,0,0.000000,446.3,6072.480000
